index,deep_label,deep_pred,deep_score,micro_emotion,micro_score,fusion_result
1,real,fake,0.8187,surprise,0.9891,SPOOF
2,real,fake,0.8847,happiness,0.9235,SPOOF
3,real,fake,0.7979,surprise,0.9947,SPOOF
4,real,fake,0.9231,disgust,0.8064,SPOOF
5,real,fake,0.8705,surprise,0.9925,SPOOF
6,real,fake,0.8357,surprise,0.7064,SPOOF
7,real,fake,0.8416,surprise,0.9769,SPOOF
8,real,fake,0.9296,surprise,0.9882,SPOOF
9,real,fake,0.8833,surprise,0.5334,SPOOF
10,real,fake,0.8441,surprise,0.9887,SPOOF
11,real,fake,0.8229,surprise,0.9855,SPOOF
12,real,fake,0.8791,surprise,0.9956,SPOOF
13,real,fake,0.7652,surprise,0.9954,SPOOF
14,real,fake,0.8492,surprise,0.981,SPOOF
15,real,fake,0.8638,surprise,0.9763,SPOOF
16,real,fake,0.8399,surprise,0.9163,SPOOF
17,real,fake,0.8577,disgust,0.693,SPOOF
18,real,fake,0.8746,surprise,0.9964,SPOOF
19,real,fake,0.7969,surprise,0.9923,SPOOF
20,real,fake,0.787,surprise,0.9777,SPOOF
21,real,fake,0.8785,surprise,0.9753,SPOOF
22,real,fake,0.6931,surprise,0.9968,SPOOF
23,real,fake,0.8594,surprise,0.9615,SPOOF
24,real,fake,0.9099,sadness,0.4823,SPOOF
25,real,fake,0.9168,surprise,0.9951,SPOOF
26,real,fake,0.8016,sadness,0.9422,SPOOF
27,real,fake,0.6255,surprise,0.9892,SPOOF
28,real,fake,0.7492,surprise,0.9392,SPOOF
29,real,fake,0.8392,surprise,0.6998,SPOOF
30,real,fake,0.8183,surprise,0.9652,SPOOF
31,real,fake,0.7524,surprise,0.9973,SPOOF
32,real,fake,0.8222,surprise,0.9853,SPOOF
33,real,fake,0.6745,surprise,0.9715,SPOOF
34,real,fake,0.7345,surprise,0.9609,SPOOF
35,real,fake,0.8165,surprise,0.7726,SPOOF
36,real,fake,0.6857,surprise,0.9837,SPOOF
37,real,fake,0.7621,surprise,0.9305,SPOOF
38,real,fake,0.7217,surprise,0.9287,SPOOF
39,real,fake,0.6396,surprise,0.7192,SPOOF
40,real,fake,0.7132,surprise,0.9857,SPOOF
41,real,fake,0.8769,surprise,0.9098,SPOOF
42,real,fake,0.8026,surprise,0.9957,SPOOF
43,real,fake,0.7308,surprise,0.9875,SPOOF
44,real,fake,0.7833,surprise,0.9402,SPOOF
45,real,fake,0.8768,surprise,0.9926,SPOOF
46,real,fake,0.7001,surprise,0.993,SPOOF
47,real,fake,0.7592,surprise,0.9935,SPOOF
48,real,fake,0.6759,surprise,0.9976,SPOOF
49,real,fake,0.8761,surprise,0.9941,SPOOF
50,real,fake,0.7084,surprise,0.995,SPOOF
51,real,fake,0.6947,surprise,0.9949,SPOOF
52,real,fake,0.8504,surprise,0.9633,SPOOF
53,real,fake,0.7998,surprise,0.9486,SPOOF
54,real,fake,0.7596,surprise,0.9971,SPOOF
55,real,fake,0.8201,sadness,0.9354,SPOOF
56,real,fake,0.7849,happiness,0.985,SPOOF
57,real,fake,0.7131,happiness,0.9801,SPOOF
58,real,fake,0.6582,fear,0.7219,SPOOF
59,real,fake,0.7315,sadness,0.6777,SPOOF
60,real,fake,0.5631,happiness,0.9447,SPOOF
61,real,fake,0.8145,fear,0.8716,SPOOF
62,real,fake,0.7451,happiness,0.9774,SPOOF
63,real,fake,0.7917,happiness,0.9867,SPOOF
64,real,fake,0.754,happiness,0.9778,SPOOF
65,real,fake,0.8536,happiness,0.8829,SPOOF
66,real,fake,0.7057,happiness,0.992,SPOOF
67,real,fake,0.7766,happiness,0.979,SPOOF
68,real,fake,0.7173,happiness,0.412,SPOOF
69,real,fake,0.8373,happiness,0.8665,SPOOF
70,real,fake,0.7477,happiness,0.8913,SPOOF
71,real,fake,0.7808,fear,0.53,SPOOF
72,real,fake,0.8611,happiness,0.8917,SPOOF
73,real,fake,0.7231,surprise,0.8116,SPOOF
74,real,fake,0.8568,happiness,0.9924,SPOOF
75,real,fake,0.9116,happiness,0.8469,SPOOF
76,real,fake,0.6954,happiness,0.9696,SPOOF
77,real,fake,0.7421,disgust,0.91,SPOOF
78,real,fake,0.8206,surprise,0.4705,SPOOF
79,real,fake,0.7448,happiness,0.9051,SPOOF
80,real,fake,0.8192,fear,0.6659,SPOOF
81,real,fake,0.8459,happiness,0.72,SPOOF
82,real,fake,0.8422,disgust,0.9759,SPOOF
83,real,fake,0.6224,disgust,0.7435,SPOOF
84,real,fake,0.8394,disgust,0.972,SPOOF
85,real,fake,0.8543,disgust,0.9779,SPOOF
