index,deep_label,deep_pred,deep_score,micro_emotion,micro_score,fusion_result
1,real,fake,0.9201,negative,0.8543,SPOOF
2,real,fake,0.9417,negative,0.6502,SPOOF
3,real,fake,0.8976,negative,0.5397,SPOOF
4,real,fake,0.901,negative,0.5561,SPOOF
5,real,fake,0.8462,negative,0.7545,SPOOF
6,real,fake,0.7757,negative,0.5821,SPOOF
7,real,fake,0.8655,negative,0.6248,SPOOF
8,real,fake,0.6434,positive,0.4065,SPOOF
9,real,fake,0.9762,negative,0.646,SPOOF
10,real,fake,0.8425,negative,0.7147,SPOOF
11,real,fake,0.6643,negative,0.6479,SPOOF
12,real,fake,0.8459,negative,0.7543,SPOOF
13,real,fake,0.7673,negative,0.5607,SPOOF
14,real,fake,0.8767,negative,0.6716,SPOOF
15,real,fake,0.8105,negative,0.5933,SPOOF
16,real,fake,0.9215,negative,0.7208,SPOOF
17,real,fake,0.9173,negative,0.5126,SPOOF
18,real,fake,0.5642,negative,0.6239,SPOOF
19,real,fake,0.6696,negative,0.4739,SPOOF
20,real,fake,0.6708,negative,0.6198,SPOOF
21,real,fake,0.905,negative,0.6341,SPOOF
22,real,fake,0.8788,negative,0.6768,SPOOF
23,real,fake,0.8349,negative,0.5745,SPOOF
24,real,fake,0.9391,negative,0.6626,SPOOF
25,real,fake,0.9663,negative,0.7747,SPOOF
26,real,fake,0.9764,negative,0.867,SPOOF
27,real,fake,0.5381,negative,0.8534,SPOOF
28,real,fake,0.8585,negative,0.5054,SPOOF
29,real,fake,0.9132,negative,0.5111,SPOOF
30,real,fake,0.8318,negative,0.6387,SPOOF
31,real,fake,0.7265,negative,0.6315,SPOOF
32,real,fake,0.8891,negative,0.5419,SPOOF
33,real,fake,0.9279,negative,0.6374,SPOOF
34,real,fake,0.8674,negative,0.5694,SPOOF
35,real,fake,0.9415,surprise,0.5488,SPOOF
36,real,fake,0.8029,negative,0.4809,SPOOF
37,real,fake,0.926,negative,0.4591,SPOOF
38,real,fake,0.8776,negative,0.5913,SPOOF
39,real,fake,0.4451,negative,0.6331,SPOOF
40,real,fake,0.885,negative,0.6897,SPOOF
41,real,fake,0.8736,positive,0.4226,SPOOF
42,real,fake,0.8846,negative,0.5716,SPOOF
43,real,fake,0.6923,negative,0.6444,SPOOF
44,real,fake,0.7618,negative,0.612,SPOOF
45,real,fake,0.9009,negative,0.8053,SPOOF
46,real,fake,0.8305,negative,0.5745,SPOOF
47,real,fake,0.7626,negative,0.6221,SPOOF
48,real,fake,0.7035,negative,0.4223,SPOOF
49,real,fake,0.8435,negative,0.7426,SPOOF
50,real,fake,0.8055,negative,0.6576,SPOOF
51,real,fake,0.7972,negative,0.6505,SPOOF
52,real,fake,0.7797,negative,0.6626,SPOOF
53,real,fake,0.5513,negative,0.6343,SPOOF
54,real,fake,0.7778,negative,0.6703,SPOOF
55,real,fake,0.921,negative,0.5954,SPOOF
56,real,fake,0.5507,negative,0.7666,SPOOF
57,real,fake,0.6903,negative,0.5944,SPOOF
