index,deep_label,deep_pred,deep_score,micro_emotion,micro_score,fusion_result,micro_score_anger,micro_score_disgust,micro_score_fear,micro_score_happiness,micro_score_sadness,micro_score_surprise
1,real,fake,0.8187,disgust,0.9891,LIVE,0.0005530000198632479,0.9890999794006348,0.0008229999803006649,0.00031599999056197703,0.001053999993018806,0.00815299991518259
2,real,fake,0.8847,anger,0.9235,LIVE,0.9235140085220337,0.0029849999118596315,0.006577999796718359,0.05687199905514717,0.00380899989977479,0.0062420000322163105
3,real,fake,0.7979,disgust,0.9947,LIVE,0.00036299999919719994,0.9946929812431335,0.001057000015862286,0.00021499999274965376,0.00045900000259280205,0.003212000010535121
4,real,fake,0.9231,surprise,0.8064,LIVE,0.0209369994699955,0.018035000190138817,0.08008699864149094,0.030399000272154808,0.044179998338222504,0.8063610196113586
5,real,fake,0.8705,disgust,0.9925,LIVE,0.00030399998649954796,0.9925379753112793,0.0005070000188425183,0.00039400000241585076,0.0010049999691545963,0.005251999944448471
6,real,fake,0.8357,disgust,0.7064,LIVE,0.01612900011241436,0.706404983997345,0.011136000044643879,0.00879599992185831,0.20477700233459473,0.052758000791072845
7,real,fake,0.8416,disgust,0.9769,LIVE,0.000645000021904707,0.9768540263175964,0.0009250000002793968,0.0010629999451339245,0.0024820000398904085,0.01803099922835827
8,real,fake,0.9296,disgust,0.9882,LIVE,0.0012499999720603228,0.9881839752197266,0.0016540000215172768,0.0010100000072270632,0.0017359999474138021,0.006165000144392252
9,real,fake,0.8833,disgust,0.5334,LIVE,0.09609699994325638,0.5333729982376099,0.013530000112950802,0.05137300118803978,0.06763599812984467,0.23799200356006622
10,real,fake,0.8441,disgust,0.9887,LIVE,0.0011340000201016665,0.9886599779129028,0.0006569999968633056,0.0006319999811239541,0.001471000025048852,0.007445000112056732
11,real,fake,0.8229,disgust,0.9855,LIVE,0.0005089999758638442,0.9854779839515686,0.0018119999440386891,0.0006960000027902424,0.0012260000221431255,0.010280000045895576
12,real,fake,0.8791,disgust,0.9956,LIVE,0.00028300000121816993,0.9956200122833252,0.0004729999927803874,0.0001449999981559813,0.0004140000091865659,0.0030640000477433205
13,real,fake,0.7652,disgust,0.9954,LIVE,0.00027799999224953353,0.9953950047492981,0.0005680000176653266,0.00014200000441633165,0.00041700000292621553,0.0031999999191612005
14,real,fake,0.8492,disgust,0.981,LIVE,0.0006760000251233578,0.9809669852256775,0.0023580000270158052,0.0005559999844990671,0.0011889999732375145,0.014255000278353691
15,real,fake,0.8638,disgust,0.9763,LIVE,0.0019280000124126673,0.9762539863586426,0.0011530000483617187,0.0015660000499337912,0.003398000029847026,0.01570099964737892
16,real,fake,0.8399,disgust,0.9163,LIVE,0.021834999322891235,0.9163359999656677,0.008433000184595585,0.0052200001664459705,0.010526999831199646,0.03765000030398369
17,real,fake,0.8577,surprise,0.693,LIVE,0.00583800021559,0.10335200279951096,0.00825399998575449,0.17993299663066864,0.009633000008761883,0.6929910182952881
18,real,fake,0.8746,disgust,0.9964,LIVE,0.00016999999934341758,0.9963849782943726,0.0002579999854788184,0.00020700000459328294,0.0006339999963529408,0.0023449999280273914
19,real,fake,0.7969,disgust,0.9923,LIVE,0.00036199999158270657,0.9923110008239746,0.0002800000074785203,0.0004199999966658652,0.0011549999471753836,0.0054709999822080135
20,real,fake,0.787,disgust,0.9777,LIVE,0.001978999935090542,0.9776840209960938,0.0015429999912157655,0.010386999696493149,0.002643000101670623,0.005764000117778778
21,real,fake,0.8785,disgust,0.9753,LIVE,0.0014390000142157078,0.9753130078315735,0.004379999823868275,0.0059009999968111515,0.002355000004172325,0.010611999779939651
22,real,fake,0.6931,disgust,0.9968,LIVE,0.00027099999715574086,0.9967600107192993,0.00023400000645779073,0.00011500000255182385,0.00019700000120792538,0.0024220000486820936
23,real,fake,0.8594,disgust,0.9615,LIVE,0.0005779999773949385,0.9615399837493896,0.003930000122636557,0.00368200009688735,0.0013160000089555979,0.028953999280929565
24,real,fake,0.9099,happiness,0.4823,LIVE,0.41026800870895386,0.021548999473452568,0.007323999889194965,0.4823459982872009,0.01370299980044365,0.06481000036001205
25,real,fake,0.9168,disgust,0.9951,LIVE,0.00013000000035390258,0.9951220154762268,0.00021600000036414713,9.300000237999484e-05,0.00022400000307243317,0.004215999972075224
26,real,fake,0.8016,happiness,0.9422,LIVE,0.022626999765634537,0.010475999675691128,0.0047439998015761375,0.9422289729118347,0.005156999919563532,0.014766000211238861
27,real,fake,0.6255,disgust,0.9892,LIVE,0.00017600000137463212,0.9891790151596069,0.00022499999613501132,0.00039500001003034413,0.0010089999996125698,0.009015999734401703
28,real,fake,0.7492,disgust,0.9392,LIVE,0.0008069999748840928,0.9391829967498779,0.003008000086992979,0.004253999795764685,0.0026940000243484974,0.05005300045013428
29,real,fake,0.8392,disgust,0.6998,LIVE,0.00456500006839633,0.6998239755630493,0.011505000293254852,0.02618899941444397,0.00939099956303835,0.24852600693702698
30,real,fake,0.8183,disgust,0.9652,LIVE,0.001231999951414764,0.9652259945869446,0.0024300001095980406,0.0015620000194758177,0.0021389999892562628,0.02741199918091297
31,real,fake,0.7524,disgust,0.9973,LIVE,0.00026699999580159783,0.9972890019416809,0.0002969999914057553,0.0005050000036135316,0.0005830000154674053,0.0010600000387057662
32,real,fake,0.8222,disgust,0.9853,LIVE,0.0002010000025620684,0.9852880239486694,0.00029299999005161226,0.00031900001340545714,0.001221999991685152,0.012675999663770199
33,real,fake,0.6745,disgust,0.9715,LIVE,0.00431900005787611,0.9715020060539246,0.0012339999666437507,0.001749000046402216,0.004238999914377928,0.016959000378847122
34,real,fake,0.7345,disgust,0.9609,LIVE,0.0005130000063218176,0.9609299898147583,0.0009169999975711107,0.0007960000075399876,0.002788000041618943,0.03405600041151047
35,real,fake,0.8165,disgust,0.7726,LIVE,0.09740299731492996,0.7726479768753052,0.007970999926328659,0.015768999233841896,0.03133599832653999,0.07487200200557709
36,real,fake,0.6857,disgust,0.9837,LIVE,0.00013800000306218863,0.9837470054626465,0.0002629999944474548,0.0002749999985098839,0.0010359999723732471,0.014541000127792358
37,real,fake,0.7621,disgust,0.9305,LIVE,0.011540000326931477,0.9304919838905334,0.0031649998854845762,0.004718999844044447,0.010327000170946121,0.03975699841976166
38,real,fake,0.7217,disgust,0.9287,LIVE,0.0009689999860711396,0.9287430047988892,0.002652999944984913,0.006564999930560589,0.003068000078201294,0.05800100043416023
39,real,fake,0.6396,disgust,0.7192,LIVE,0.033629000186920166,0.7191969752311707,0.007007999811321497,0.010981000028550625,0.011965000070631504,0.21721899509429932
40,real,fake,0.7132,disgust,0.9857,LIVE,0.001234999974258244,0.9857349991798401,0.003289999905973673,0.0006799999973736703,0.0013689999468624592,0.007691000122576952
41,real,fake,0.8769,disgust,0.9098,LIVE,0.004251999780535698,0.9098150134086609,0.0026000000070780516,0.0044570001773536205,0.004730000160634518,0.07414499670267105
