index,deep_label,deep_pred,deep_score,micro_emotion,micro_score,fusion_result
1,real,fake,0.8187,disgust,0.9891,LIVE
2,real,fake,0.8847,anger,0.9235,LIVE
3,real,fake,0.7979,disgust,0.9947,LIVE
4,real,fake,0.9231,surprise,0.8064,LIVE
5,real,fake,0.8705,disgust,0.9925,LIVE
6,real,fake,0.8357,disgust,0.7064,LIVE
7,real,fake,0.8416,disgust,0.9769,LIVE
8,real,fake,0.9296,disgust,0.9882,LIVE
9,real,fake,0.8833,disgust,0.5334,LIVE
10,real,fake,0.8441,disgust,0.9887,LIVE
11,real,fake,0.8229,disgust,0.9855,LIVE
12,real,fake,0.8791,disgust,0.9956,LIVE
13,real,fake,0.7652,disgust,0.9954,LIVE
14,real,fake,0.8492,disgust,0.981,LIVE
15,real,fake,0.8638,disgust,0.9763,LIVE
16,real,fake,0.8399,disgust,0.9163,LIVE
17,real,fake,0.8577,surprise,0.693,LIVE
18,real,fake,0.8746,disgust,0.9964,LIVE
19,real,fake,0.7969,disgust,0.9923,LIVE
20,real,fake,0.787,disgust,0.9777,LIVE
21,real,fake,0.8785,disgust,0.9753,LIVE
22,real,fake,0.6931,disgust,0.9968,LIVE
23,real,fake,0.8594,disgust,0.9615,LIVE
24,real,fake,0.9099,happiness,0.4823,LIVE
25,real,fake,0.9168,disgust,0.9951,LIVE
26,real,fake,0.8016,happiness,0.9422,LIVE
27,real,fake,0.6255,disgust,0.9892,LIVE
28,real,fake,0.7492,disgust,0.9392,LIVE
29,real,fake,0.8392,disgust,0.6998,LIVE
30,real,fake,0.8183,disgust,0.9652,LIVE
31,real,fake,0.7524,disgust,0.9973,LIVE
32,real,fake,0.8222,disgust,0.9853,LIVE
33,real,fake,0.6745,disgust,0.9715,LIVE
34,real,fake,0.7345,disgust,0.9609,LIVE
35,real,fake,0.8165,disgust,0.7726,LIVE
36,real,fake,0.6857,disgust,0.9837,LIVE
37,real,fake,0.7621,disgust,0.9305,LIVE
38,real,fake,0.7217,disgust,0.9287,LIVE
39,real,fake,0.6396,disgust,0.7192,LIVE
40,real,fake,0.7132,disgust,0.9857,LIVE
41,real,fake,0.8769,disgust,0.9098,LIVE
42,real,fake,0.8026,disgust,0.9957,LIVE
43,real,fake,0.7308,disgust,0.9875,LIVE
44,real,fake,0.7833,disgust,0.9402,LIVE
45,real,fake,0.8768,disgust,0.9926,LIVE
46,real,fake,0.7001,disgust,0.993,LIVE
47,real,fake,0.7592,disgust,0.9935,LIVE
48,real,fake,0.6759,disgust,0.9976,LIVE
49,real,fake,0.8761,disgust,0.9941,LIVE
50,real,fake,0.7084,disgust,0.995,LIVE
51,real,fake,0.6947,disgust,0.9949,LIVE
52,real,fake,0.8504,disgust,0.9633,LIVE
53,real,fake,0.7998,disgust,0.9486,LIVE
54,real,fake,0.7596,disgust,0.9971,LIVE
55,real,fake,0.8201,happiness,0.9354,LIVE
56,real,fake,0.7849,anger,0.985,LIVE
57,real,fake,0.7131,anger,0.9801,LIVE
58,real,fake,0.6582,fear,0.7219,LIVE
59,real,fake,0.7315,happiness,0.6777,LIVE
60,real,fake,0.5631,anger,0.9447,LIVE
61,real,fake,0.8145,fear,0.8716,LIVE
62,real,fake,0.7451,anger,0.9774,LIVE
63,real,fake,0.7917,anger,0.9867,LIVE
64,real,fake,0.754,anger,0.9778,LIVE
65,real,fake,0.8536,anger,0.8829,LIVE
66,real,fake,0.7057,anger,0.992,LIVE
67,real,fake,0.7766,anger,0.979,LIVE
68,real,fake,0.7173,anger,0.412,LIVE
69,real,fake,0.8373,anger,0.8665,LIVE
70,real,fake,0.7477,anger,0.8913,LIVE
71,real,fake,0.7808,fear,0.53,LIVE
72,real,fake,0.8611,anger,0.8917,LIVE
73,real,fake,0.7231,disgust,0.8116,LIVE
