index,deep_label,deep_pred,deep_score,micro_emotion,micro_score,fusion_result
1,real,fake,0.9201,negative,0.8543,SPOOF
2,real,fake,0.9417,negative,0.6502,SPOOF
3,real,fake,0.8976,negative,0.5397,SPOOF
4,real,fake,0.901,negative,0.5561,SPOOF
5,real,fake,0.8462,negative,0.7545,SPOOF
6,real,fake,0.7757,negative,0.5821,LIVE
7,real,fake,0.8655,negative,0.6248,SPOOF
8,real,fake,0.6434,positive,0.4065,LIVE
9,real,fake,0.9762,negative,0.646,SPOOF
10,real,fake,0.8425,negative,0.7147,SPOOF
11,real,fake,0.6643,negative,0.6479,LIVE
12,real,fake,0.8459,negative,0.7543,SPOOF
13,real,fake,0.7673,negative,0.5607,LIVE
14,real,fake,0.8767,negative,0.6716,SPOOF
15,real,fake,0.8105,negative,0.5933,SPOOF
16,real,fake,0.9215,negative,0.7208,SPOOF
17,real,fake,0.9173,negative,0.5126,SPOOF
18,real,fake,0.5642,negative,0.6239,LIVE
19,real,fake,0.6696,negative,0.4739,LIVE
20,real,fake,0.6708,negative,0.6198,LIVE
21,real,fake,0.905,negative,0.6341,SPOOF
22,real,fake,0.8788,negative,0.6768,SPOOF
23,real,fake,0.8349,negative,0.5745,SPOOF
24,real,fake,0.9391,negative,0.6626,SPOOF
25,real,fake,0.9663,negative,0.7747,SPOOF
26,real,fake,0.9764,negative,0.867,SPOOF
27,real,fake,0.5381,negative,0.8534,LIVE
28,real,fake,0.8585,negative,0.5054,SPOOF
29,real,fake,0.9132,negative,0.5111,SPOOF
30,real,fake,0.8318,negative,0.6387,SPOOF
31,real,fake,0.7265,negative,0.6315,LIVE
32,real,fake,0.8891,negative,0.5419,SPOOF
33,real,fake,0.9279,negative,0.6374,SPOOF
34,real,fake,0.8674,negative,0.5694,SPOOF
35,real,fake,0.9415,surprise,0.5488,SPOOF
36,real,fake,0.8029,negative,0.4809,SPOOF
37,real,fake,0.926,negative,0.4591,SPOOF
38,real,fake,0.8776,negative,0.5913,SPOOF
39,real,fake,0.4451,negative,0.6331,LIVE
40,real,fake,0.885,negative,0.6897,SPOOF
41,real,fake,0.8736,positive,0.4226,SPOOF
42,real,fake,0.8846,negative,0.5716,SPOOF
43,real,fake,0.6923,negative,0.6444,LIVE
44,real,fake,0.7618,negative,0.612,LIVE
45,real,fake,0.9009,negative,0.8053,SPOOF
46,real,fake,0.8305,negative,0.5745,SPOOF
47,real,fake,0.7626,negative,0.6221,LIVE
48,real,fake,0.7035,negative,0.4223,LIVE
49,real,fake,0.8435,negative,0.7426,SPOOF
50,real,fake,0.8055,negative,0.6576,SPOOF
51,fake,fake,0.0832,negative,0.6505,LIVE
52,fake,fake,0.0385,negative,0.6626,LIVE
53,fake,fake,0.2162,negative,0.6343,LIVE
54,fake,fake,0.0118,negative,0.6703,LIVE
55,fake,fake,0.0206,negative,0.5954,LIVE
56,fake,fake,0.6506,negative,0.7666,LIVE
57,fake,fake,0.7833,negative,0.5944,LIVE
58,fake,fake,0.2488,negative,0.4107,LIVE
59,fake,fake,0.6562,negative,0.8687,LIVE
60,fake,fake,0.3615,negative,0.5389,LIVE
61,fake,fake,0.4322,positive,0.4224,LIVE
62,fake,fake,0.744,negative,0.3959,LIVE
63,fake,fake,0.3597,negative,0.5461,LIVE
64,fake,fake,0.7979,negative,0.6643,LIVE
65,fake,fake,0.4458,surprise,0.4434,LIVE
66,fake,fake,0.6422,negative,0.5335,LIVE
67,fake,fake,0.6234,negative,0.5451,LIVE
68,fake,fake,0.7769,positive,0.3905,LIVE
69,fake,fake,0.4858,positive,0.3826,LIVE
70,fake,fake,0.2045,negative,0.3777,LIVE
71,fake,fake,0.7091,negative,0.3483,LIVE
72,fake,fake,0.6734,positive,0.4116,LIVE
73,fake,fake,0.3468,negative,0.7852,LIVE
74,fake,fake,0.757,negative,0.7576,LIVE
75,fake,fake,0.0322,negative,0.4311,LIVE
76,fake,fake,0.0721,negative,0.6089,LIVE
77,fake,fake,0.1981,negative,0.5609,LIVE
78,fake,fake,0.493,negative,0.5661,LIVE
79,fake,fake,0.6399,negative,0.5293,LIVE
80,fake,fake,0.4854,negative,0.6058,LIVE
81,fake,fake,0.2917,negative,0.6648,LIVE
82,fake,fake,0.4396,negative,0.6255,LIVE
83,fake,fake,0.4281,negative,0.6817,LIVE
84,fake,fake,0.3004,negative,0.4821,LIVE
85,fake,fake,0.7207,negative,0.7214,LIVE
86,fake,fake,0.1348,negative,0.5892,LIVE
87,fake,fake,0.4019,negative,0.3987,LIVE
88,fake,fake,0.2396,negative,0.5899,LIVE
89,fake,fake,0.3584,negative,0.5911,LIVE
90,fake,fake,0.3608,negative,0.4819,LIVE
91,fake,fake,0.0614,negative,0.6631,LIVE
92,fake,fake,0.2702,negative,0.6056,LIVE
93,fake,fake,0.0768,negative,0.605,LIVE
94,fake,fake,0.0659,negative,0.5683,LIVE
95,fake,fake,0.0653,negative,0.7324,LIVE
96,fake,fake,0.0817,negative,0.7877,LIVE
97,fake,fake,0.0467,positive,0.4951,LIVE
98,fake,fake,0.3211,negative,0.6129,LIVE
99,fake,fake,0.3013,negative,0.5413,LIVE
100,fake,fake,0.0517,negative,0.651,LIVE
